"Año","Provincia","Duracion_H","Superficie_Hectareas"
"2015","Córdoba",8.866666666666667,39.39
"2015","Córdoba",2.6666666666666665,0.12
"2015","Córdoba",0.9833333333333333,0.02
"2015","Córdoba",17.3,0.95
"2015","Córdoba",31.266666666666666,0.01
"2015","Córdoba",0.38333333333333336,0.01
"2015","Córdoba",1.25,0.8
"2015","Córdoba",4.416666666666667,0.55
"2015","Córdoba",3.033333333333333,0.32
"2015","Córdoba",1.3333333333333333,0.26
"2015","Córdoba",7,2.54
"2015","Córdoba",2.9166666666666665,1.54
"2015","Córdoba",1.1166666666666667,0.01
"2015","Córdoba",0.23333333333333334,0.01
"2015","Córdoba",2.466666666666667,6.14
"2015","Córdoba",22.833333333333332,2.54
"2015","Córdoba",4.483333333333333,0.47
"2015","Córdoba",0.7,0.01
"2015","Córdoba",4.483333333333333,0.39
"2015","Córdoba",6.616666666666666,8.41
"2015","Córdoba",3.2,0.08
"2015","Córdoba",1.3,0.3
"2015","Córdoba",4,3.6
"2015","Córdoba",3.6166666666666667,0.07
"2015","Córdoba",2.95,0.01
"2015","Córdoba",1.9666666666666666,3
"2015","Córdoba",9.95,0.06
"2015","Córdoba",1.45,0.06
"2015","Córdoba",3.4166666666666665,0.1
"2015","Córdoba",2.1666666666666665,0.22
"2015","Córdoba",1.85,0.14
"2015","Córdoba",0.8833333333333333,0.04
"2015","Córdoba",0.4666666666666667,0.04
"2015","Córdoba",11.716666666666667,11.94
"2015","Córdoba",8.483333333333333,0.12
"2015","Córdoba",2,0.04
"2015","Córdoba",38.4,0.06
"2015","Córdoba",2.1666666666666665,0.1
"2015","Córdoba",1.6666666666666667,0.01
"2015","Córdoba",5.683333333333334,2.67
"2015","Córdoba",34.9,3.17
"2015","Córdoba",3.6166666666666667,2.01
"2015","Córdoba",21,0.55
"2015","Córdoba",21,2.5
"2015","Córdoba",2.933333333333333,0.22
"2015","Córdoba",2.4166666666666665,0.8
"2015","Córdoba",2.6666666666666665,0.17
"2015","Córdoba",3.3333333333333335,5.5
"2015","Córdoba",4.416666666666667,0.08
"2015","Córdoba",2.25,0.31
"2015","Córdoba",2.816666666666667,0.06
"2015","Córdoba",1.9833333333333334,0.36
"2015","Córdoba",3.066666666666667,0.25
"2015","Córdoba",1.9166666666666667,0.02
"2015","Córdoba",6.35,0.32
"2015","Córdoba",2.4833333333333334,7.4
"2015","Córdoba",2.3666666666666667,0.86
"2015","Córdoba",1.6333333333333333,1.04
"2015","Córdoba",1.9,0.07
"2015","Córdoba",3.183333333333333,0.55
"2015","Córdoba",1.5833333333333333,0.04
"2015","Córdoba",5.533333333333333,1.16
"2015","Córdoba",1.1833333333333333,0.04
"2015","Córdoba",1.7333333333333334,0.06
"2015","Córdoba",3.216666666666667,0.92
"2015","Córdoba",3.683333333333333,1.47
"2015","Córdoba",2.283333333333333,0.89
"2015","Córdoba",4.533333333333333,1.28
"2015","Córdoba",2.1666666666666665,0.09
"2015","Córdoba",2.25,0.2
"2015","Córdoba",2.15,0.08
"2015","Córdoba",3.6,27.86
"2015","Córdoba",2.8333333333333335,4.35
"2015","Córdoba",1.0666666666666667,0.01
"2015","Córdoba",0.8333333333333334,0.06
"2015","Córdoba",1.1666666666666667,0.01
"2015","Córdoba",2,29.04
"2015","Córdoba",2.4166666666666665,0.63
"2015","Granada",4.416666666666667,0.1
"2015","Granada",5.433333333333334,1.18
"2015","Granada",14.916666666666666,0.01
"2015","Granada",1.8333333333333333,7.08
"2015","Granada",12.333333333333334,1.37
"2015","Granada",1.9,0.22
"2015","Granada",23.7,13.42
"2015","Granada",8.25,13.83
"2015","Granada",2.5833333333333335,0.57
"2015","Granada",20.233333333333334,3.54
"2015","Granada",8.366666666666667,0.59
"2015","Granada",5.15,0.85
"2015","Granada",1.3333333333333333,0.01
"2015","Granada",1.5,0.36
"2015","Granada",2.2,0.1
"2015","Granada",3.8333333333333335,0.73
"2015","Granada",2.25,0.45
"2015","Granada",6.066666666666666,2.4
"2015","Granada",0.6666666666666666,0.5
"2015","Granada",7.5,1.29
"2015","Granada",4.233333333333333,0.39
"2015","Granada",1.8,0.04
"2015","Granada",3,0.18
"2015","Granada",2.7,0.08
"2015","Granada",14.5,0.18
"2015","Granada",2.8333333333333335,0.17
"2015","Granada",1.0833333333333333,0.33
"2015","Granada",7.25,3.24
"2015","Granada",2.1666666666666665,0.17
"2015","Granada",1.3666666666666667,0.1
"2015","Granada",27.15,8.22
"2015","Granada",18.316666666666666,0.54
"2015","Granada",43.5,0.27
"2015","Granada",1.9166666666666667,1.07
"2015","Granada",2.1666666666666665,0.02
"2015","Granada",3.75,0.12
"2015","Granada",1.95,0.2
"2015","Granada",2.5833333333333335,1.61
"2015","Granada",4.833333333333333,0.44
"2015","Granada",15.716666666666667,5.7
"2015","Granada",16.333333333333332,9.46
"2015","Granada",1.8,0.15
"2015","Granada",2.1666666666666665,0.86
"2015","Granada",1.0833333333333333,0.35
"2015","Granada",19.5,21.2
"2015","Granada",24,92.29
"2015","Granada",1.1666666666666667,0.01
"2015","Granada",3.4166666666666665,0.34
"2015","Granada",2.5,0.01
"2015","Granada",7.966666666666667,11.79
"2015","Granada",3.8666666666666667,0.75
"2015","Granada",5.25,1.2
"2015","Granada",1.8,0.04
"2015","Granada",0.7333333333333333,0.03
"2015","Granada",2.8333333333333335,0.5
"2015","Granada",5.883333333333334,2.24
"2015","Granada",1.3833333333333333,0.06
"2015","Granada",2.533333333333333,0.83
"2015","Granada",2.3833333333333333,0.03
"2015","Granada",3.1666666666666665,0.03
"2015","Granada",0.8666666666666667,0.35
"2015","Granada",11.466666666666667,12.67
"2015","Granada",14.3,3.2
"2015","Granada",1.7666666666666666,0.19
"2015","Granada",155.03333333333333,1582.9
"2015","Granada",21.016666666666666,0.6
"2015","Granada",4.4,0.18
"2015","Granada",2.5,0.25
"2015","Granada",7.033333333333333,1.12
"2015","Granada",2.3333333333333335,0.04
"2015","Granada",4.2,0.41
"2015","Granada",18.233333333333334,0.3
"2015","Granada",2.7666666666666666,0.14
"2015","Granada",2.75,1.35
"2015","Granada",3.1666666666666665,0.15
"2015","Granada",5.416666666666667,0.36
"2015","Granada",1.25,0.47
"2015","Granada",3.8333333333333335,0.26
"2015","Granada",6.45,0.11
"2015","Granada",3.1666666666666665,0.65
"2015","Granada",14.233333333333333,4.1
"2015","Granada",1.9666666666666666,0.02
"2015","Granada",1.5,0.59
"2015","Granada",1.8833333333333333,0.1
"2015","Granada",3.466666666666667,0.11
"2015","Granada",4.75,0.05
"2015","Granada",10.916666666666666,0.48
"2015","Granada",1.7166666666666666,0.15
"2015","Granada",5.016666666666667,0.22
"2015","Granada",31.583333333333332,8.16
"2015","Granada",2.25,0.04
"2015","Granada",2.4166666666666665,0.09
"2015","Granada",4.583333333333333,0.08
"2015","Granada",3.3333333333333335,0.32
"2015","Granada",3.3333333333333335,0.29
"2015","Granada",5.666666666666667,0.02
"2015","Granada",1.1666666666666667,0.54
"2015","Granada",6.016666666666667,20.03
"2015","Granada",3.5,0.09
"2015","Granada",1.7,0.01
"2015","Granada",0.8333333333333334,0.02
"2015","Granada",1.75,0.13
"2015","Granada",19.416666666666668,5.76
"2015","Granada",1.7666666666666666,0.11
"2015","Granada",3.65,0.16
"2015","Granada",2.0833333333333335,0.07
"2015","Granada",1.6333333333333333,0.59
"2015","Granada",2.466666666666667,0.01
"2015","Granada",2.3,0.14
"2015","Huelva",1.45,0.15
"2015","Huelva",1,0.3
"2015","Huelva",6.833333333333333,0.5
"2015","Huelva",2.4166666666666665,0.06
"2015","Huelva",1.5833333333333333,0.9
"2015","Huelva",3.8333333333333335,0.8
"2015","Huelva",2.25,0.03
"2015","Huelva",4.5,0.85
"2015","Huelva",3.75,0.4
"2015","Huelva",3.5833333333333335,0.02
"2015","Huelva",7.583333333333333,3
"2015","Huelva",2.216666666666667,0.25
"2015","Huelva",7.083333333333333,0.23
"2015","Huelva",2.3333333333333335,0.02
"2015","Huelva",1.55,0.02
"2015","Huelva",1.6333333333333333,0.5
"2015","Huelva",1.45,0.01
"2015","Huelva",3.216666666666667,0.2
"2015","Huelva",18.5,1.3
"2015","Huelva",0.5833333333333334,0.01
"2015","Huelva",4.833333333333333,0.58
"2015","Huelva",23.166666666666668,3.88
"2015","Huelva",3.5,0.1
"2015","Huelva",2.75,0.01
"2015","Huelva",3.75,0.1
"2015","Huelva",3,0.9
"2015","Huelva",4.133333333333334,0.4
"2015","Huelva",2.75,0.1
"2015","Huelva",2,0.07
"2015","Huelva",2,0.04
"2015","Huelva",2.5,0.05
"2015","Huelva",2.8333333333333335,0.5
"2015","Huelva",25,3.49
"2015","Huelva",23.75,7.46
"2015","Huelva",19.166666666666668,0.5
"2015","Huelva",1.75,0.01
"2015","Huelva",28.133333333333333,3.04
"2015","Huelva",6.25,0.6
"2015","Huelva",3.6166666666666667,0.5
"2015","Huelva",5.583333333333333,0.25
"2015","Huelva",27.666666666666668,0.5
"2015","Huelva",1.8166666666666667,0.04
"2015","Huelva",24.916666666666668,6.88
"2015","Huelva",1.8166666666666667,2
"2015","Huelva",8.2,3.49
"2015","Huelva",7,3.81
"2015","Huelva",1.5,0.02
"2015","Huelva",2.9166666666666665,0.5
"2015","Huelva",20.483333333333334,9.68
"2015","Huelva",2.1666666666666665,4
"2015","Huelva",12.666666666666666,1.66
"2015","Huelva",7.3,0.5
"2015","Huelva",16.333333333333332,1.69
"2015","Huelva",3.5,0.95
"2015","Huelva",1.9166666666666667,0.18
"2015","Huelva",5.666666666666667,0.23
"2015","Huelva",27.5,27.49
"2015","Huelva",2.4166666666666665,0.02
"2015","Huelva",0.5333333333333333,0.01
"2015","Huelva",1.3333333333333333,0.2
"2015","Huelva",1.5,0.15
"2015","Huelva",3.5833333333333335,1.27
"2015","Huelva",8.166666666666666,7.52
"2015","Huelva",2.3333333333333335,0.5
"2015","Huelva",2.1666666666666665,0.01
"2015","Huelva",1.1666666666666667,0.06
"2015","Huelva",21.5,0.5
"2015","Huelva",1.1666666666666667,0.07
"2015","Huelva",4,0.2
"2015","Huelva",32.416666666666664,50.15
"2015","Huelva",26.166666666666668,1.42
"2015","Huelva",17.166666666666668,6
"2015","Huelva",7.5,4
"2015","Huelva",6.333333333333333,0.1
"2015","Huelva",11.366666666666667,0.02
"2015","Huelva",3.066666666666667,0.06
"2015","Huelva",10.133333333333333,0.8
"2015","Huelva",0.4166666666666667,0.02
"2015","Huelva",5.5,3.05
"2015","Huelva",3.1666666666666665,0.01
"2015","Huelva",1.9166666666666667,0.03
"2015","Huelva",2.0833333333333335,0.02
"2015","Huelva",17.666666666666668,13.47
"2015","Huelva",1.5,0.3
"2015","Huelva",10.333333333333334,3.1
"2015","Huelva",4.583333333333333,2.65
"2015","Huelva",15.85,3
"2015","Huelva",2.316666666666667,0.1
"2015","Huelva",45.75,115.89
"2015","Huelva",13.916666666666666,2
"2015","Huelva",38.833333333333336,9.59
"2015","Huelva",2.5833333333333335,0.5
"2015","Huelva",20.233333333333334,1.4
"2015","Huelva",29.416666666666668,10.73
"2015","Huelva",6.3,2
"2015","Huelva",2.5,0.2
"2015","Huelva",3.4166666666666665,0.04
"2015","Huelva",5,0.02
"2015","Huelva",2.25,0.15
"2015","Huelva",32.333333333333336,0.55
"2015","Huelva",5.083333333333333,3
"2015","Huelva",5.666666666666667,0.96
"2015","Huelva",4.333333333333333,1.5
"2015","Huelva",0.45,0.01
"2015","Huelva",2.25,0.07
"2015","Huelva",19.833333333333332,1.7
"2015","Huelva",1.6333333333333333,0.1
"2015","Huelva",3.216666666666667,0.01
"2015","Huelva",3.5833333333333335,1.89
"2015","Huelva",1.4166666666666667,0.1
"2015","Huelva",2.5833333333333335,0.08
"2015","Huelva",0.7,0.9
"2015","Huelva",2.6166666666666667,0.1
"2015","Huelva",2.1666666666666665,0.3
"2015","Huelva",2,1
"2015","Huelva",3.0833333333333335,0.12
"2015","Huelva",3.0833333333333335,0.5
"2015","Huelva",13.416666666666666,0.36
"2015","Huelva",52.916666666666664,41.3
"2015","Huelva",2.5833333333333335,0.03
"2015","Huelva",1.3333333333333333,0.15
"2015","Huelva",5.083333333333333,0.1
"2015","Huelva",2,2
"2015","Huelva",4.666666666666667,0.8
"2015","Huelva",0.9833333333333333,2
"2015","Huelva",3.1166666666666667,0.5
"2015","Jaén",0.7166666666666667,0.01
"2015","Jaén",1.6666666666666667,0.03
"2015","Jaén",2.9166666666666665,0.64
"2015","Jaén",1.75,0.01
"2015","Jaén",1.5833333333333333,0.01
"2015","Jaén",6,2.15
"2015","Jaén",4.083333333333333,0.3
"2015","Jaén",7.25,0.57
"2015","Jaén",2.8333333333333335,0.06
"2015","Jaén",2.5833333333333335,0.23
"2015","Jaén",2.1666666666666665,0.02
"2015","Jaén",3.9166666666666665,8.08
"2015","Jaén",2.5,0.01
"2015","Jaén",5.166666666666667,1.06
"2015","Jaén",3.5833333333333335,0.05
"2015","Jaén",5.416666666666667,1.05
"2015","Jaén",3.9166666666666665,0.22
"2015","Jaén",4.083333333333333,0.03
"2015","Jaén",1.1666666666666667,0.01
"2015","Jaén",1.5,0.02
"2015","Jaén",1.75,0.01
"2015","Jaén",2.75,0.06
"2015","Jaén",4.25,3.78
"2015","Jaén",2.9166666666666665,0.92
"2015","Jaén",2,0.03
"2015","Jaén",4.333333333333333,0.06
"2015","Jaén",2.0833333333333335,0.24
"2015","Jaén",2.25,0.44
"2015","Jaén",1.75,0.22
"2015","Jaén",2.3333333333333335,1.31
"2015","Jaén",3.9833333333333334,4.21
"2015","Jaén",4.583333333333333,3.6
"2015","Jaén",1.75,0.95
"2015","Jaén",5.333333333333333,0.01
"2015","Jaén",11,0.5
"2015","Jaén",1.5,1.02
"2015","Jaén",2.4166666666666665,0.07
"2015","Jaén",2.3333333333333335,0.86
"2015","Jaén",0.9166666666666666,0.35
"2015","Jaén",5.833333333333333,0.01
"2015","Jaén",2.5,0.66
"2015","Jaén",4.583333333333333,0.03
"2015","Jaén",1.8333333333333333,2.32
"2015","Jaén",1.8666666666666667,1.15
"2015","Jaén",3.4166666666666665,0.15
"2015","Jaén",1.5,0.04
"2015","Jaén",5.75,8.04
"2015","Jaén",0.75,0.01
"2015","Jaén",14.5,2.69
"2015","Jaén",2.0833333333333335,0.3
"2015","Jaén",1.6666666666666667,0.36
"2015","Jaén",2,0.67
"2015","Jaén",7,11.98
"2015","Jaén",30.166666666666668,16.11
"2015","Jaén",2.5,0.36
"2015","Jaén",7.583333333333333,6.77
"2015","Jaén",3.25,0.38
"2015","Jaén",1.5333333333333334,0.01
"2015","Jaén",18.5,12.63
"2015","Jaén",573.1666666666666,9756.76
"2015","Jaén",13.75,0.01
"2015","Jaén",82.75,0.02
"2015","Jaén",9,11.22
"2015","Jaén",28.983333333333334,21.44
"2015","Jaén",1,0.32
"2015","Jaén",12.666666666666666,13.5
"2015","Jaén",116.75,110.21
"2015","Jaén",4.333333333333333,0.16
"2015","Jaén",1.1666666666666667,0.56
"2015","Jaén",16.083333333333332,3.01
"2015","Jaén",8.666666666666666,1.68
"2015","Jaén",7.666666666666667,21.04
"2015","Jaén",3.3333333333333335,0.57
"2015","Jaén",4.083333333333333,0.74
"2015","Jaén",17.333333333333332,1.7
"2015","Jaén",4.75,0.61
"2015","Jaén",14.616666666666667,1.78
"2015","Jaén",5.916666666666667,0.8
"2015","Jaén",3.1666666666666665,0.09
"2015","Jaén",1,0.01
"2015","Jaén",74.16666666666667,93.27
"2015","Jaén",10.95,0.3
"2015","Jaén",3,0.09
"2015","Jaén",2.25,0.54
"2015","Jaén",1.75,1.56
"2015","Jaén",2.0833333333333335,0.05
"2015","Jaén",2.6666666666666665,0.27
"2015","Jaén",4.166666666666667,0.41
"2015","Jaén",1.5833333333333333,0.13
"2015","Jaén",25.333333333333332,0.01
"2015","Jaén",1.8333333333333333,0.6
"2015","Jaén",1.5,0.57
"2015","Jaén",3,0.25
"2015","Jaén",3,1.63
"2015","Jaén",4.083333333333333,0.26
"2015","Jaén",1,0.03
"2015","Jaén",2.566666666666667,0.39
"2015","Jaén",12.25,3.75
"2015","Jaén",7.333333333333333,0.49
"2015","Jaén",1,0.02
"2015","Jaén",6.583333333333333,0.14
"2015","Jaén",2,0.29
"2015","Jaén",1.4666666666666666,0.65
"2015","Jaén",1.5,2.19
"2015","Jaén",1.5833333333333333,0.01
"2015","Jaén",5.083333333333333,0.63
"2015","Jaén",24,8.8
"2015","Jaén",2.433333333333333,0.2
"2015","Jaén",10.083333333333334,1.82
"2015","Jaén",1.5833333333333333,0.04
"2015","Jaén",1.5833333333333333,0.83
"2015","Jaén",2.8833333333333333,1.13
"2015","Jaén",1.0833333333333333,0.03
"2015","Jaén",6.75,0.09
"2015","Jaén",1.1666666666666667,0.1
"2015","Jaén",3,0.49
"2015","Jaén",1.7833333333333334,0.13
"2015","Jaén",0.9666666666666667,0.01
"2015","Jaén",27.35,5.9
"2015","Jaén",3.5,4.2
"2015","Jaén",2.5833333333333335,0.01
"2015","Jaén",2.0833333333333335,0.01
"2015","Jaén",1.5833333333333333,0.22
"2015","Jaén",74.91666666666667,0.51
"2015","Jaén",14,10.12
"2015","Jaén",2.9166666666666665,2.61
"2015","Jaén",3.0833333333333335,0.01
"2015","Jaén",1.1666666666666667,0.01
"2015","Jaén",2.25,0.84
"2015","Jaén",0.8333333333333334,0.05
"2015","Jaén",3,0.01
"2015","Jaén",2.75,0.48
"2015","Jaén",14.166666666666666,2.07
"2015","Jaén",2.2,0.14
"2015","Jaén",2.316666666666667,0.04
"2015","Jaén",2.8333333333333335,0.08
"2015","Jaén",0.9166666666666666,1.09
"2015","Jaén",6.333333333333333,0.14
"2015","Jaén",6.116666666666666,0.63
"2015","Jaén",4.75,0.09
"2015","Jaén",2.0833333333333335,0.13
"2015","Jaén",3.6333333333333333,0.07
"2015","Jaén",15.166666666666666,0.14
"2015","Jaén",6,0.1
"2015","Jaén",8.666666666666666,0.51
"2015","Jaén",4.416666666666667,0.06
"2015","Jaén",2.25,0.01
"2015","Jaén",3.466666666666667,0.1
"2015","Jaén",1.8333333333333333,0.01
"2015","Málaga",2.5833333333333335,0.06
"2015","Málaga",2.216666666666667,0.01
"2015","Málaga",3.0833333333333335,0.07
"2015","Málaga",0.8333333333333334,0.01
"2015","Málaga",2.466666666666667,0.01
"2015","Málaga",1.25,0.03
"2015","Málaga",49.68333333333333,14.41
"2015","Málaga",20.916666666666668,1.12
"2015","Málaga",3.25,1.2
"2015","Málaga",2.95,0.17
"2015","Málaga",5.333333333333333,0.7
"2015","Málaga",1.0833333333333333,0.25
"2015","Málaga",4.433333333333334,0.6
"2015","Málaga",3.3333333333333335,0.3
"2015","Málaga",18.166666666666668,0.8
"2015","Málaga",2,0.04
"2015","Málaga",6.733333333333333,1.06
"2015","Málaga",3.5166666666666666,0.39
"2015","Málaga",52.416666666666664,16.36
"2015","Málaga",2.55,0.02
"2015","Málaga",4.833333333333333,0.1
"2015","Málaga",5.166666666666667,1.3
"2015","Málaga",4.95,0.15
"2015","Málaga",3.4166666666666665,0.01
"2015","Málaga",1.0666666666666667,0.01
"2015","Málaga",4.333333333333333,0.35
"2015","Málaga",5,0.72
"2015","Málaga",7.333333333333333,4.86
"2015","Málaga",7,1.26
"2015","Málaga",29.166666666666668,79
"2015","Málaga",9.766666666666667,4
"2015","Málaga",1.5,3.03
"2015","Málaga",7.683333333333334,0.99
"2015","Málaga",2.55,0.29
"2015","Málaga",1.5,0.04
"2015","Málaga",2.1666666666666665,0.29
"2015","Málaga",19,36.8
"2015","Málaga",1.4166666666666667,0.02
"2015","Málaga",29.916666666666668,5.77
"2015","Málaga",6.816666666666666,3.33
"2015","Málaga",3.466666666666667,0.23
"2015","Málaga",7.25,2.79
"2015","Málaga",3.6166666666666667,1.35
"2015","Málaga",17.516666666666666,0.7
"2015","Málaga",0.9166666666666666,0.01
"2015","Málaga",3.1666666666666665,0.08
"2015","Málaga",21.916666666666668,0.03
"2015","Málaga",1.8166666666666667,0.11
"2015","Málaga",2.5833333333333335,0.1
"2015","Málaga",5.916666666666667,0.19
"2015","Málaga",2.933333333333333,0.13
"2015","Málaga",2.3,0.06
"2015","Málaga",3.4166666666666665,0.08
"2015","Málaga",7.666666666666667,6.16
"2015","Málaga",19.666666666666668,0.4
"2015","Málaga",5.016666666666667,2.25
"2015","Málaga",1.95,0.89
"2015","Málaga",8.416666666666666,1.9
"2015","Málaga",2.533333333333333,0.23
"2015","Málaga",38.06666666666667,2.65
"2015","Málaga",28.083333333333332,19.5
"2015","Málaga",9.25,2.26
"2015","Málaga",7.55,2.11
"2015","Málaga",6.333333333333333,2.56
"2015","Málaga",1.1666666666666667,0.02
"2015","Málaga",17.466666666666665,3.27
"2015","Málaga",2.183333333333333,0.08
"2015","Málaga",2.5833333333333335,0.59
"2015","Málaga",28.433333333333334,67.32
"2015","Málaga",3.8333333333333335,0.44
"2015","Málaga",3.3,1.1
"2015","Málaga",22.866666666666667,4.52
"2015","Málaga",3.75,7.15
"2015","Málaga",2.6166666666666667,0.02
"2015","Málaga",1.9166666666666667,0.36
"2015","Málaga",23.55,1.9
"2015","Málaga",11.833333333333334,1.9
"2015","Málaga",6.083333333333333,1.66
"2015","Málaga",5.816666666666666,0.25
"2015","Málaga",18.033333333333335,3.41
"2015","Málaga",4.833333333333333,0.36
"2015","Málaga",1,0.05
"2015","Málaga",2.5166666666666666,0.01
"2015","Sevilla",3.1166666666666667,1.5
"2015","Sevilla",1.6333333333333333,0.97
"2015","Sevilla",2.4833333333333334,0.03
"2015","Sevilla",1.75,0.15
"2015","Sevilla",1.1333333333333333,0.01
"2015","Sevilla",3.783333333333333,0.87
"2015","Sevilla",1.9166666666666667,0.15
"2015","Sevilla",1.8333333333333333,0.03
"2015","Sevilla",6.616666666666666,1.84
"2015","Sevilla",24.6,7.55
"2015","Sevilla",3,8
"2015","Sevilla",1.6833333333333333,0.28
"2015","Sevilla",2.55,0.1
"2015","Sevilla",14.15,0.46
"2015","Sevilla",1.5,0.09
"2015","Sevilla",2.5,0.3
"2015","Sevilla",3.3333333333333335,1.1
"2015","Sevilla",2.5,0.05
"2015","Sevilla",19.766666666666666,1.66
"2015","Sevilla",21.783333333333335,1
