Campania,Provincia,Municipio,ComarcaIsla,SuperficieTotalForestal,AfectoEspacioProtegido
2016,Córdoba,MONTEMAYOR,SUB-BETICA,14.68,No
2016,Córdoba,VILLAVICIOSA DE CÓRDOBA,VALLE DEL GUADIATO,0.03,Si
2016,Córdoba,ESPIEL,VALLE DEL GUADIATO,1.64,No
2016,Córdoba,CÓRDOBA,CORDOBA,0.72,No
2016,Córdoba,CÓRDOBA,CORDOBA,2.04,No
2016,Córdoba,HINOJOSA DEL DUQUE,VALLE DE LOS PEDROCHES,12.6,No
2016,Córdoba,PRIEGO DE CÓRDOBA,SUB-BETICA,0.46,No
2016,Córdoba,PUENTE GENIL,SUB-BETICA,0.29,No
2016,Córdoba,CÓRDOBA,CORDOBA,0.5,No
2016,Córdoba,MONTEMAYOR,SUB-BETICA,1.09,No
2016,Córdoba,CÓRDOBA,CORDOBA,0.55,No
2016,Córdoba,CÓRDOBA,CORDOBA,1,No
2016,Córdoba,CÓRDOBA,CORDOBA,0.01,No
2016,Córdoba,MONTORO,ALTO GUADALQUIVIR,2.43,No
2016,Córdoba,PALMA DEL RÍO,VALLE MEDIO DEL GUADALQUIVIR,0.39,No
2016,Córdoba,CÓRDOBA,CORDOBA,2.2,No
2016,Córdoba,CÓRDOBA,CORDOBA,1.7,No
2016,Córdoba,VILLANUEVA DE CÓRDOBA,VALLE DE LOS PEDROCHES,0.2,No
2016,Córdoba,BENAMEJÍ,SUB-BETICA,0.29,No
2016,Córdoba,RUTE,SUB-BETICA,0.07,No
2016,Córdoba,PRIEGO DE CÓRDOBA,SUB-BETICA,11.89,No
2016,Córdoba,MONTILLA,SUB-BETICA,1.2,No
2016,Córdoba,CÓRDOBA,CORDOBA,0.75,No
2016,Córdoba,PALMA DEL RÍO,VALLE MEDIO DEL GUADALQUIVIR,5.07,No
2016,Córdoba,CABRA,SUB-BETICA,2.45,Si
2016,Córdoba,ALMODÓVAR DEL RÍO,VALLE MEDIO DEL GUADALQUIVIR,1.2,No
2016,Córdoba,PRIEGO DE CÓRDOBA,SUB-BETICA,0.75,No
2016,Córdoba,CÓRDOBA,CORDOBA,0.01,No
2016,Córdoba,ADAMUZ,ALTO GUADALQUIVIR,1,No
2016,Córdoba,BELMEZ,VALLE DEL GUADIATO,0.3,No
2016,Córdoba,ESPIEL,VALLE DEL GUADIATO,0.17,No
2016,Córdoba,ESPIEL,VALLE DEL GUADIATO,0.72,No
2016,Córdoba,CÓRDOBA,CORDOBA,5.8,No
2016,Córdoba,CÓRDOBA,CORDOBA,0.18,No
2016,Córdoba,FUENTE-TÓJAR,SUB-BETICA,0.03,No
2016,Córdoba,MONTORO,ALTO GUADALQUIVIR,0.24,No
2016,Córdoba,CABRA,SUB-BETICA,3.17,No
2016,Córdoba,CÓRDOBA,CORDOBA,0.05,No
2016,Córdoba,ALMEDINILLA,SUB-BETICA,0.22,No
2016,Córdoba,CÓRDOBA,CORDOBA,0.03,No
2016,Córdoba,ALMODÓVAR DEL RÍO,VALLE MEDIO DEL GUADALQUIVIR,3.1,No
2016,Córdoba,LUQUE,SUB-BETICA,0.49,No
2016,Granada,"ZUBIA, LA",SIERRA NEVADA (GR),0.34,Si
2016,Granada,LANJARÓN,SIERRA NEVADA (GR),0.41,No
2016,Granada,BUSQUÍSTAR,SIERRA NEVADA (GR),1.23,Si
2016,Granada,CORTES Y GRAENA,GUADIX,3.68,No
2016,Granada,ÓRGIVA,ALPUJARARRA GRANADINA,134.22,No
2016,Granada,ARENAS DEL REY,ALHAMA,0.13,No
2016,Granada,LANJARÓN,SIERRA NEVADA (GR),4.8,Si
2016,Granada,"GUAJARES, LOS",SIERRAS LITORALES,1.06,No
2016,Granada,BEAS DE GRANADA,VEGA DE GRANADA,0.07,No
2016,Granada,ALBUÑOL,SIERRAS LITORALES,0.06,No
2016,Granada,ZÚJAR,BAZA,0.17,No
2016,Granada,ALPUJARRA DE LA SIERRA,SIERRA NEVADA (GR),0.41,Si
2016,Granada,VÉLEZ DE BENAUDALLA,SIERRAS LITORALES,1.8,No
2016,Granada,LOBRAS,ALPUJARARRA GRANADINA,0.48,No
2016,Granada,ARENAS DEL REY,ALHAMA,0.2,No
2016,Granada,JEREZ DEL MARQUESADO,SIERRA NEVADA (GR),0.04,No
2016,Granada,ÓRGIVA,ALPUJARARRA GRANADINA,0.6,No
2016,Granada,PADUL,SIERRA NEVADA (GR),0.01,Si
2016,Granada,"VALLE, EL",VALLE DE LECRIN,0.02,No
2016,Granada,NEVADA,SIERRA NEVADA (GR),0.01,No
2016,Granada,CÁDIAR,SIERRA NEVADA (GR),3.13,No
2016,Granada,VALLE DEL ZALABÍ,GUADIX,4.1,Si
2016,Granada,PADUL,SIERRA NEVADA (GR),0.3,No
2016,Granada,PADUL,SIERRA NEVADA (GR),0.03,No
2016,Granada,LENTEGÍ,SIERRAS LITORALES,0.41,No
2016,Granada,ALMUÑÉCAR,SIERRAS LITORALES,0.1,No
2016,Granada,CÚLLAR,BAZA,1.37,No
2016,Granada,CÚLLAR,BAZA,0.07,No
2016,Granada,PÓRTUGOS,SIERRA NEVADA (GR),0.13,Si
2016,Granada,"MALAHÁ, LA",ALHAMA,0.38,No
2016,Granada,JEREZ DEL MARQUESADO,SIERRA NEVADA (GR),0.01,No
2016,Granada,JAYENA,ALHAMA,0.08,No
2016,Granada,"ZUBIA, LA",SIERRA NEVADA (GR),0.01,Si
2016,Granada,"PEZA, LA",GUADIX,1.61,No
2016,Granada,"PINAR, EL",VALLE DE LECRIN,0.16,No
2016,Granada,GUALCHOS,SIERRAS LITORALES,0.31,No
2016,Granada,LUGROS,SIERRA NEVADA (GR),0.02,Si
2016,Granada,GALERA,HUESCAR,2.5,No
2016,Granada,CACÍN,ALHAMA,0.48,No
2016,Granada,SANTA FE,VEGA DE GRANADA,0.13,No
2016,Granada,FONELAS,GUADIX,0.17,No
2016,Granada,CORTES Y GRAENA,GUADIX,0.09,No
2016,Granada,PADUL,SIERRA NEVADA (GR),1.94,No
2016,Granada,BEAS DE GUADIX,GUADIX,0.04,No
2016,Granada,CORTES DE BAZA,BAZA,0.44,No
2016,Granada,CASTILLÉJAR,HUESCAR,0.16,No
2016,Granada,PINOS PUENTE,VEGA DE GRANADA,2.67,No
2016,Granada,PINOS PUENTE,VEGA DE GRANADA,0.06,No
2016,Granada,JEREZ DEL MARQUESADO,SIERRA NEVADA (GR),0.48,No
2016,Granada,PINOS PUENTE,VEGA DE GRANADA,2.09,No
2016,Granada,PINOS PUENTE,VEGA DE GRANADA,1.05,No
2016,Granada,VILLAMENA,VALLE DE LECRIN,0.22,No
2016,Granada,PURULLENA,GUADIX,0.39,No
2016,Granada,PINOS GENIL,SIERRA NEVADA (GR),0.04,No
2016,Granada,PINOS PUENTE,VEGA DE GRANADA,0.41,No
2016,Granada,JEREZ DEL MARQUESADO,SIERRA NEVADA (GR),0.29,No
2016,Granada,ALBUÑOL,SIERRAS LITORALES,0.58,No
2016,Granada,CÚLLAR,BAZA,0.12,No
2016,Granada,PINOS GENIL,SIERRA NEVADA (GR),1.22,No
2016,Granada,HUÉSCAR,HUESCAR,0.12,Si
2016,Granada,LECRÍN,SIERRA NEVADA (GR),0.03,No
2016,Granada,HUÉSCAR,HUESCAR,0.05,Si
2016,Granada,PADUL,SIERRA NEVADA (GR),1.46,No
2016,Granada,CORTES DE BAZA,BAZA,0.21,No
2016,Granada,CÚLLAR,BAZA,0.19,No
2016,Granada,PINOS PUENTE,VEGA DE GRANADA,1.36,No
2016,Granada,PINOS PUENTE,VEGA DE GRANADA,0.12,No
2016,Granada,PADUL,SIERRA NEVADA (GR),0.05,No
2016,Granada,PINOS PUENTE,VEGA DE GRANADA,2.4,No
2016,Granada,ALBUÑUELAS,VALLE DE LECRIN,0.07,No
2016,Granada,PADUL,SIERRA NEVADA (GR),0.86,Si
2016,Granada,BUSQUÍSTAR,SIERRA NEVADA (GR),0.02,Si
2016,Granada,GUALCHOS,SIERRAS LITORALES,0.42,No
2016,Granada,MOCLÍN,LOJA,0.01,No
2016,Granada,PINOS GENIL,SIERRA NEVADA (GR),0.01,No
2016,Granada,PINOS PUENTE,VEGA DE GRANADA,0.23,No
2016,Granada,CENES DE LA VEGA,VEGA DE GRANADA,0.01,No
2016,Granada,CENES DE LA VEGA,VEGA DE GRANADA,0.51,No
2016,Granada,LÁCHAR,VEGA DE GRANADA,0.22,No
2016,Granada,PINOS PUENTE,VEGA DE GRANADA,1.08,No
2016,Granada,ALMUÑÉCAR,SIERRAS LITORALES,0.17,No
2016,Granada,ALBUÑUELAS,VALLE DE LECRIN,0.49,No
2016,Granada,"GUAJARES, LOS",SIERRAS LITORALES,0.16,No
2016,Granada,LÚJAR,SIERRAS LITORALES,10.46,No
2016,Granada,PUEBLA DE DON FADRIQUE,HUESCAR,0.08,Si
2016,Granada,ALBUÑUELAS,VALLE DE LECRIN,2.17,No
2016,Granada,ALBUÑUELAS,VALLE DE LECRIN,0.03,No
2016,Granada,ILLORA,LOJA,0.07,No
2016,Granada,BAZA,BAZA,0.01,Si
2016,Granada,HUÉSCAR,HUESCAR,0.23,Si
2016,Granada,GRANADA,VEGA DE GRANADA,0.12,No
2016,Granada,CÁSTARAS,ALPUJARARRA GRANADINA,1.62,No
2016,Granada,ALMEGIJAR,ALPUJARARRA GRANADINA,0.41,No
2016,Granada,FUENTE VAQUEROS,VEGA DE GRANADA,0.15,No
2016,Granada,SORVILÁN,SIERRAS LITORALES,1.25,No
2016,Granada,PÓRTUGOS,SIERRA NEVADA (GR),0.02,No
2016,Granada,DEIFONTES,LOS MONTES,0.18,No
2016,Granada,DÚDAR,VEGA DE GRANADA,1.91,No
2016,Granada,GRANADA,VEGA DE GRANADA,0.04,No
2016,Granada,COLOMERA,LOS MONTES,0.14,No
2016,Granada,BÉRCHULES,SIERRA NEVADA (GR),0.09,Si
2016,Granada,CORTES DE BAZA,BAZA,1.09,No
2016,Granada,ILLORA,LOJA,0.04,No
2016,Granada,VILLANUEVA DE LAS TORRES,LOS MONTES,1.16,No
2016,Granada,VÍZNAR,VEGA DE GRANADA,0.53,No
2016,Granada,VÁLOR,ALPUJARARRA GRANADINA,0.22,Si
2016,Granada,"TAHA, LA",SIERRA NEVADA (GR),0.05,No
2016,Granada,FREILA,BAZA,0.34,No
2016,Granada,ALMEGIJAR,ALPUJARARRA GRANADINA,0.89,No
2016,Granada,FREILA,BAZA,0.2,No
2016,Granada,CUEVAS DEL CAMPO,BAZA,0.14,No
2016,Granada,COGOLLOS DE LA VEGA,VEGA DE GRANADA,0.89,Si
2016,Granada,CÁSTARAS,ALPUJARARRA GRANADINA,3.95,No
2016,Granada,PINOS GENIL,SIERRA NEVADA (GR),3.06,No
2016,Granada,PADUL,SIERRA NEVADA (GR),1.08,No
2016,Granada,"TAHA, LA",SIERRA NEVADA (GR),0.31,No
2016,Granada,PADUL,SIERRA NEVADA (GR),0.32,No
2016,Granada,GOR,GUADIX,0.34,No
2016,Granada,LÚJAR,SIERRAS LITORALES,1.49,No
2016,Granada,CÁDIAR,SIERRA NEVADA (GR),0.21,No
2016,Huelva,MOGUER,HUELVA,0.5,No
2016,Huelva,VILLARRASA,EL CONDADO,0.02,No
2016,Huelva,ALÁJAR,SIERRA DE HUELVA,0.16,Si
2016,Huelva,"CERRO DE ANDÉVALO, EL",EL ANDEVALO,3.1,No
2016,Huelva,VALVERDE DEL CAMINO,EL ANDEVALO,0.75,Si
2016,Huelva,"CERRO DE ANDÉVALO, EL",EL ANDEVALO,0.05,No
2016,Huelva,MINAS DE RIOTINTO,CUENCA MINERA,0.25,No
2016,Huelva,ROSAL DE LA FRONTERA,SIERRA DE HUELVA,0.03,Si
2016,Huelva,BEAS,EL CONDADO,181.42,No
2016,Huelva,ALMONTE,EL CONDADO,0.8,Si
2016,Huelva,GIBRALEÓN,HUELVA,2.56,No
2016,Huelva,ROSAL DE LA FRONTERA,SIERRA DE HUELVA,0.09,No
2016,Huelva,"CERRO DE ANDÉVALO, EL",EL ANDEVALO,0.02,No
2016,Huelva,ALMONTE,EL CONDADO,0.25,No
2016,Huelva,LUCENA DEL PUERTO,EL CONDADO,0.06,No
2016,Huelva,MOGUER,HUELVA,0.04,No
2016,Huelva,SAN JUAN DEL PUERTO,HUELVA,0.2,No
2016,Huelva,MOGUER,HUELVA,0.5,No
2016,Huelva,PUEBLA DE GUZMÁN,EL ANDEVALO,5.4,Si
2016,Huelva,LUCENA DEL PUERTO,EL CONDADO,0.01,No
2016,Huelva,NERVA,CUENCA MINERA,0.1,No
2016,Huelva,ALÁJAR,SIERRA DE HUELVA,0.16,Si
2016,Huelva,NIEBLA,EL CONDADO,0.9,No
2016,Huelva,GIBRALEÓN,HUELVA,40.12,No
2016,Huelva,PUNTA UMBRÍA,HUELVA,12.89,Si
2016,Huelva,LUCENA DEL PUERTO,EL CONDADO,0.12,No
2016,Huelva,ALJARAQUE,HUELVA,0.26,No
2016,Huelva,"CAMPILLO, EL",CUENCA MINERA,0.7,No
2016,Huelva,CARTAYA,COSTA OCCIDENTAL,0.15,No
2016,Huelva,MOGUER,HUELVA,5.25,No
2016,Huelva,VALVERDE DEL CAMINO,EL ANDEVALO,0.7,No
2016,Huelva,MINAS DE RIOTINTO,CUENCA MINERA,0.2,No
2016,Huelva,"CERRO DE ANDÉVALO, EL",EL ANDEVALO,39.3,No
2016,Huelva,ALMONASTER LA REAL,SIERRA DE HUELVA,66.48,No
2016,Huelva,NERVA,CUENCA MINERA,4.53,No
2016,Huelva,CALAÑAS,EL ANDEVALO,0.01,No
2016,Huelva,ALMONTE,EL CONDADO,0.1,No
2016,Huelva,ALMONTE,EL CONDADO,0.4,No
2016,Huelva,NERVA,CUENCA MINERA,125.8,No
2016,Huelva,NERVA,CUENCA MINERA,0.7,No
2016,Huelva,VILLALBA DEL ALCOR,EL CONDADO,1.31,Si
2016,Huelva,HINOJOS,EL CONDADO,0.03,No
2016,Huelva,VILLABLANCA,COSTA OCCIDENTAL,6.26,Si
2016,Huelva,VILLARRASA,EL CONDADO,0.6,No
2016,Huelva,VALVERDE DEL CAMINO,EL ANDEVALO,0.38,No
2016,Huelva,CARTAYA,COSTA OCCIDENTAL,6.03,No
2016,Huelva,ALMONTE,EL CONDADO,0.6,No
2016,Huelva,VILLARRASA,EL CONDADO,0.63,No
2016,Huelva,"CERRO DE ANDÉVALO, EL",EL ANDEVALO,2,No
2016,Huelva,MINAS DE RIOTINTO,CUENCA MINERA,0.01,No
2016,Huelva,MINAS DE RIOTINTO,CUENCA MINERA,0.01,No
2016,Huelva,ZALAMEA LA REAL,CUENCA MINERA,0.02,No
2016,Huelva,CARTAYA,COSTA OCCIDENTAL,6.62,No
2016,Huelva,ALMONTE,EL CONDADO,1.39,No
2016,Huelva,PATERNA DEL CAMPO,EL CONDADO,0.03,No
2016,Huelva,"GRANADO, EL",EL ANDEVALO,31.79,Si
2016,Huelva,HINOJOS,EL CONDADO,0.22,No
2016,Huelva,GIBRALEÓN,HUELVA,50.03,No
2016,Huelva,"CERRO DE ANDÉVALO, EL",EL ANDEVALO,0.75,No
2016,Huelva,PATERNA DEL CAMPO,EL CONDADO,0.35,No
2016,Huelva,"PALMA DEL CONDADO, LA",EL CONDADO,0.8,No
2016,Huelva,BOLLULLOS PAR DEL CONDADO,EL CONDADO,0.7,No
2016,Huelva,ISLA CRISTINA,COSTA OCCIDENTAL,0.25,No
2016,Huelva,CARTAYA,COSTA OCCIDENTAL,0.1,No
2016,Huelva,VILLARRASA,EL CONDADO,0.15,Si
2016,Huelva,CORTEGANA,SIERRA DE HUELVA,0.15,No
2016,Huelva,ZALAMEA LA REAL,CUENCA MINERA,0.18,No
2016,Huelva,PATERNA DEL CAMPO,EL CONDADO,0.3,No
2016,Huelva,LUCENA DEL PUERTO,EL CONDADO,0.4,No
2016,Huelva,BOLLULLOS PAR DEL CONDADO,EL CONDADO,0.12,No
2016,Huelva,GIBRALEÓN,HUELVA,0.41,No
2016,Huelva,CARTAYA,COSTA OCCIDENTAL,0.6,No
2016,Huelva,VILLALBA DEL ALCOR,EL CONDADO,2.5,Si
2016,Huelva,CARTAYA,COSTA OCCIDENTAL,0.12,No
2016,Huelva,FUENTEHERIDOS,SIERRA DE HUELVA,0.37,Si
2016,Huelva,HUELVA,HUELVA,9,No
2016,Huelva,GIBRALEÓN,HUELVA,0.03,No
2016,Huelva,MANZANILLA,EL CONDADO,0.2,No
2016,Huelva,MOGUER,HUELVA,0.5,No
2016,Huelva,BOLLULLOS PAR DEL CONDADO,EL CONDADO,0.2,No
2016,Huelva,PATERNA DEL CAMPO,EL CONDADO,0.6,No
2016,Huelva,GIBRALEÓN,HUELVA,0.3,No
2016,Huelva,SANTA OLALLA DEL CALA,SIERRA DE HUELVA,1.86,Si
2016,Huelva,"PALMA DEL CONDADO, LA",EL CONDADO,0.15,No
2016,Huelva,PATERNA DEL CAMPO,EL CONDADO,0.12,No
2016,Huelva,"PALMA DEL CONDADO, LA",EL CONDADO,0.17,No
2016,Huelva,MOGUER,HUELVA,0.02,Si
2016,Huelva,VILLALBA DEL ALCOR,EL CONDADO,0.98,Si
2016,Huelva,VILLALBA DEL ALCOR,EL CONDADO,0.95,No
2016,Huelva,VILLABLANCA,COSTA OCCIDENTAL,8.9,No
2016,Huelva,"CERRO DE ANDÉVALO, EL",EL ANDEVALO,1.8,No
2016,Huelva,GIBRALEÓN,HUELVA,0.25,No
2016,Huelva,CARTAYA,COSTA OCCIDENTAL,0.1,No
2016,Huelva,VILLARRASA,EL CONDADO,0.5,Si
2016,Huelva,"CERRO DE ANDÉVALO, EL",EL ANDEVALO,0.99,No
2016,Huelva,"CERRO DE ANDÉVALO, EL",EL ANDEVALO,0.02,No
2016,Huelva,CALAÑAS,EL ANDEVALO,3,No
2016,Huelva,"ALMENDRO, EL",EL ANDEVALO,1,Si
2016,Jaén,ANDÚJAR,SIERRA MORENA,0.03,No
2016,Jaén,SEGURA DE LA SIERRA,SIERRA DE SEGURA,0.03,Si
2016,Jaén,HUELMA,SIERRA MAGINA,0.23,No
2016,Jaén,CARBONEROS,SIERRA MORENA,0.01,No
2016,Jaén,ARROYO DEL OJANCO,SIERRA DE SEGURA,2.2,Si
2016,Jaén,ANDÚJAR,SIERRA MORENA,0.04,Si
2016,Jaén,ANDÚJAR,SIERRA MORENA,0.09,No
2016,Jaén,ALCAUDETE,SIERRA SUR_JAEN,0.05,No
2016,Jaén,SANTIAGO-PONTONES,SIERRA DE SEGURA,0.01,Si
2016,Jaén,QUESADA,SIERRA DE CAZORLA,0.02,Si
2016,Jaén,BEDMAR Y GARCÍEZ,SIERRA MAGINA,0.09,No
2016,Jaén,HUELMA,SIERRA MAGINA,0.07,No
2016,Jaén,HUELMA,SIERRA MAGINA,0.02,No
2016,Jaén,ORCERA,SIERRA DE SEGURA,0.13,Si
2016,Jaén,PEGALAJAR,SIERRA MAGINA,0.02,No
2016,Jaén,CAZORLA,SIERRA DE CAZORLA,0.3,No
2016,Jaén,LINARES,SIERRA MORENA,0.01,Si
2016,Jaén,ALCAUDETE,SIERRA SUR_JAEN,0.03,No
2016,Jaén,ÚBEDA,LA LOMA,2.64,No
2016,Jaén,ALCAUDETE,SIERRA SUR_JAEN,0.65,No
2016,Jaén,JAÉN,JAEN,0.01,No
2016,Jaén,ÚBEDA,LA LOMA,0.35,No
2016,Jaén,ALCALÁ LA REAL,SIERRA SUR_JAEN,1.44,No
2016,Jaén,CARBONEROS,SIERRA MORENA,0.05,No
2016,Jaén,CAMBIL,SIERRA MAGINA,0.35,No
2016,Jaén,FRAILES,SIERRA SUR_JAEN,0.22,No
2016,Jaén,VÍLCHES,EL CONDADO_JAEN,2.26,No
2016,Jaén,JAÉN,JAEN,0.03,No
2016,Jaén,JÓDAR,SIERRA MAGINA,0.06,No
2016,Jaén,CARBONEROS,SIERRA MORENA,0.39,No
2016,Jaén,JAÉN,JAEN,1,Si
2016,Jaén,"CAROLINA, LA",SIERRA MORENA,0.63,No
2016,Jaén,JÓDAR,SIERRA MAGINA,70.01,No
2016,Jaén,JAÉN,JAEN,0.36,No
2016,Jaén,ANDÚJAR,SIERRA MORENA,0.1,Si
2016,Jaén,ANDÚJAR,SIERRA MORENA,1.12,No
2016,Jaén,LINARES,SIERRA MORENA,0.36,No
2016,Jaén,TORRES,SIERRA MAGINA,0.07,No
2016,Jaén,JAÉN,JAEN,0.12,Si
2016,Jaén,JAÉN,JAEN,0.01,Si
2016,Jaén,VILLANUEVA DE LA REINA,SIERRA MORENA,1.48,Si
2016,Jaén,LINARES,SIERRA MORENA,0.63,No
2016,Jaén,MARTOS,JAEN,1.6,No
2016,Jaén,VÍLCHES,EL CONDADO_JAEN,1.05,Si
2016,Jaén,"CAROLINA, LA",SIERRA MORENA,16.34,Si
2016,Jaén,BEAS DE SEGURA,SIERRA DE SEGURA,6.06,No
2016,Jaén,VÍLCHES,EL CONDADO_JAEN,114.34,No
2016,Jaén,LINARES,SIERRA MORENA,1.51,No
2016,Jaén,VÍLCHES,EL CONDADO_JAEN,13.9,No
2016,Jaén,CAMPILLO DE ARENAS,SIERRA MAGINA,0.06,No
2016,Jaén,PEAL DE BECERRO,SIERRA DE CAZORLA,0.97,Si
2016,Jaén,BAÑOS DE LA ENCINA,SIERRA MORENA,0.38,Si
2016,Jaén,BEAS DE SEGURA,SIERRA DE SEGURA,0.01,No
2016,Jaén,ANDÚJAR,SIERRA MORENA,1.24,No
2016,Jaén,GUARROMÁN,SIERRA MORENA,1.01,No
2016,Jaén,SILES,SIERRA DE SEGURA,1.84,Si
2016,Jaén,CAMPILLO DE ARENAS,SIERRA MAGINA,0.12,No
2016,Jaén,CHILLUÉVAR,SIERRA DE CAZORLA,0.04,No
2016,Jaén,JAÉN,JAEN,0.33,No
2016,Jaén,BAILÉN,SIERRA MORENA,1.17,No
2016,Jaén,MARTOS,JAEN,0.03,No
2016,Jaén,JAÉN,JAEN,0.1,No
2016,Jaén,BEDMAR Y GARCÍEZ,SIERRA MAGINA,0.2,No
2016,Jaén,QUESADA,SIERRA DE CAZORLA,2.66,No
2016,Jaén,ARROYO DEL OJANCO,SIERRA DE SEGURA,1.85,No
2016,Jaén,"PUERTA DE SEGURA, LA",SIERRA DE SEGURA,3.69,No
2016,Jaén,ANDÚJAR,SIERRA MORENA,0.65,No
2016,Jaén,ARROYO DEL OJANCO,SIERRA DE SEGURA,0.13,No
2016,Jaén,PUENTE DE GÉNAVE,SIERRA DE SEGURA,9.17,No
2016,Jaén,ANDÚJAR,SIERRA MORENA,0.01,Si
2016,Jaén,JAÉN,JAEN,0.01,Si
2016,Jaén,VÍLCHES,EL CONDADO_JAEN,1.33,No
2016,Jaén,BÉELMEZ DE LA MORALEDA,SIERRA MAGINA,0.01,Si
2016,Jaén,BEAS DE SEGURA,SIERRA DE SEGURA,0.01,Si
2016,Jaén,BEDMAR Y GARCÍEZ,SIERRA MAGINA,0.01,No
2016,Jaén,VILLANUEVA DEL ARZOBISPO,LAS VILLAS,0.06,Si
2016,Jaén,CAMPILLO DE ARENAS,SIERRA MAGINA,0.27,No
2016,Jaén,SANTIAGO-PONTONES,SIERRA DE SEGURA,0.01,Si
2016,Jaén,LOPERA,SIERRA MORENA,6.38,No
2016,Jaén,VILLANUEVA DE LA REINA,SIERRA MORENA,0.46,No
2016,Jaén,LOPERA,SIERRA MORENA,0.68,No
2016,Jaén,BEAS DE SEGURA,SIERRA DE SEGURA,0.68,No
2016,Jaén,MANCHA REAL,JAEN,0.32,No
2016,Jaén,LINARES,SIERRA MORENA,0.36,No
2016,Jaén,GUARROMÁN,SIERRA MORENA,0.05,No
2016,Jaén,QUESADA,SIERRA DE CAZORLA,0.85,Si
2016,Jaén,JAÉN,JAEN,0.97,No
2016,Jaén,MARMOLEJO,SIERRA MORENA,0.25,No
2016,Jaén,JAÉN,JAEN,0.1,No
2016,Jaén,QUESADA,SIERRA DE CAZORLA,0.15,No
2016,Jaén,MARTOS,JAEN,0.02,No
2016,Jaén,BEGÍJAR,LA LOMA,2.55,No
2016,Jaén,QUESADA,SIERRA DE CAZORLA,0.06,Si
2016,Jaén,SANTISTEBAN DEL PUERTO,EL CONDADO_JAEN,0.33,No
2016,Jaén,ANDÚJAR,SIERRA MORENA,0.64,No
2016,Jaén,VILLANUEVA DEL ARZOBISPO,LAS VILLAS,0.15,No
2016,Jaén,VILLANUEVA DE LA REINA,SIERRA MORENA,0.47,No
2016,Jaén,LINARES,SIERRA MORENA,0.14,No
2016,Jaén,MARMOLEJO,SIERRA MORENA,3.95,No
2016,Jaén,ALCAUDETE,SIERRA SUR_JAEN,0.04,No
2016,Jaén,ANDÚJAR,SIERRA MORENA,0.02,No
2016,Jaén,NAVAS DE SAN JUAN,EL CONDADO_JAEN,0.41,No
2016,Jaén,MARMOLEJO,SIERRA MORENA,2.21,No
2016,Jaén,BEGÍJAR,LA LOMA,0.13,Si
2016,Jaén,TORRE DEL CAMPO,JAEN,1.2,No
2016,Jaén,VILLANUEVA DE LA REINA,SIERRA MORENA,1.02,No
2016,Jaén,SILES,SIERRA DE SEGURA,0.01,Si
2016,Jaén,SANTISTEBAN DEL PUERTO,EL CONDADO_JAEN,11,No
2016,Jaén,MARTOS,JAEN,0.09,No
2016,Jaén,ANDÚJAR,SIERRA MORENA,0.35,No
2016,Jaén,MENGÍBAR,JAEN,0.05,No
2016,Jaén,BEDMAR Y GARCÍEZ,SIERRA MAGINA,0.97,No
2016,Jaén,ANDÚJAR,SIERRA MORENA,0.04,No
2016,Jaén,VILLANUEVA DEL ARZOBISPO,LAS VILLAS,0.02,No
2016,Jaén,JAÉN,JAEN,0.21,No
2016,Jaén,MARTOS,JAEN,0.09,No
2016,Jaén,JAÉN,JAEN,0.08,No
2016,Jaén,CABRA DEL SANTO CRISTO,SIERRA MAGINA,2.08,No
2016,Jaén,MARMOLEJO,SIERRA MORENA,7.23,No
2016,Jaén,BENATAE,SIERRA DE SEGURA,0.14,Si
2016,Jaén,GUARROMÁN,SIERRA MORENA,3.35,No
2016,Jaén,SILES,SIERRA DE SEGURA,0.14,Si
2016,Jaén,POZO ALCÓN,SIERRA DE CAZORLA,0.2,No
2016,Jaén,ALBANCHEZ DE MÁGINA,SIERRA MAGINA,2,Si
2016,Málaga,JUBRIQUE,SERRANIA DE RONDA,0.14,Si
2016,Málaga,MÁLAGA,MALAGA,0.02,No
2016,Málaga,TOLOX,VALLE DE GUADALHORCE,0.01,Si
2016,Málaga,ESTEPONA,COSTA DEL SOL,0.02,Si
2016,Málaga,MANILVA,COSTA DEL SOL,0.5,No
2016,Málaga,MÁLAGA,MALAGA,0.31,Si
2016,Málaga,VIÑUELA,LA AXARQUIA,0.2,No
2016,Málaga,ARENAS,LA AXARQUIA,0.2,No
2016,Málaga,"BURGO, EL",SERRANIA DE RONDA,1.1,No
2016,Málaga,JUBRIQUE,SERRANIA DE RONDA,0.67,Si
2016,Málaga,GUARO,VALLE DE GUADALHORCE,0.75,No
2016,Málaga,JUBRIQUE,SERRANIA DE RONDA,0.02,Si
2016,Málaga,ARENAS,LA AXARQUIA,0.68,No
2016,Málaga,"BORGE, EL",LA AXARQUIA,4.75,No
2016,Málaga,SEDELLA,LA AXARQUIA,3.83,No
2016,Málaga,VÉLEZ-MÁLAGA,LA AXARQUIA,0.8,No
2016,Málaga,MÁLAGA,MALAGA,0.58,No
2016,Málaga,ANTEQUERA,ANTEQUERA,0.5,No
2016,Málaga,MÁLAGA,MALAGA,0.2,No
2016,Málaga,ALHAURÍN EL GRANDE,VALLE DE GUADALHORCE,0.25,No
2016,Málaga,SEDELLA,LA AXARQUIA,10.76,No
2016,Málaga,PIZARRA,VALLE DE GUADALHORCE,0.2,Si
